id,target
0,0.70586365
2,0.77307415
3,0.79145986
9,0.7349464
11,0.8632212
12,0.7501347
21,0.26089907
22,0.29315335
27,0.29315335
29,0.1931361
30,0.24989264
35,0.28550193
42,0.28550193
43,0.29315335
45,0.29315335
46,0.8810465
47,0.29315335
51,0.7230162
58,0.27608344
60,0.29315335
69,0.26807418
70,0.32383165
72,0.1675826
75,0.6258692
84,0.39362785
87,0.40149394
88,0.22966203
90,0.30659807
94,0.29315335
99,0.5567841
101,0.20224075
103,0.51745266
106,0.5254763
108,0.5302413
111,0.73757017
115,0.27386793
116,0.5967916
122,0.45934972
123,0.19340403
124,0.5514028
125,0.40620518
127,0.76135516
140,0.47851035
142,0.48134747
147,0.12120344
148,0.27181205
150,0.12966502
152,0.27181205
154,0.23815449
155,0.27181205
166,0.2284756
167,0.07828475
169,0.81614757
177,0.27181205
179,0.27181205
181,0.29315335
186,0.28497997
188,0.24791832
189,0.18334447
192,0.27181205
200,0.689686
202,0.6989436
206,0.57786274
207,0.871482
214,0.73154217
217,0.64150727
223,0.40594205
224,0.78982586
227,0.7204793
228,0.60204375
230,0.69249374
233,0.7729135
234,0.9661641
236,0.9661641
239,0.9661641
250,0.93726605
255,0.10947155
257,0.18340719
259,0.1875841
275,0.9422107
278,0.18703856
282,0.13510697
284,0.17731129
286,0.29315335
288,0.93726605
292,0.37313512
295,0.29315335
300,0.28875214
304,0.83012426
305,0.83012426
306,0.23398554
308,0.24823943
311,0.29315335
317,0.1990896
319,0.30507234
323,0.18384054
324,0.22600542
325,0.29315335
326,0.29315335
333,0.28792498
339,0.28781477
342,0.2355308
343,0.29315335
350,0.29640925
351,0.29315335
357,0.29315335
359,0.29315335
362,0.13510697
366,0.32884428
367,0.29315335
369,0.29315335
373,0.29315335
374,0.29315335
376,0.2019883
377,0.29315335
378,0.29315335
379,0.26012442
382,0.29315335
385,0.29315335
387,0.29315335
388,0.29315335
391,0.29315335
392,0.29315335
395,0.29315335
399,0.13558209
400,0.2543066
403,0.19600989
405,0.44190118
408,0.3338966
411,0.29315335
414,0.16587655
416,0.18950942
417,0.34921095
422,0.18562776
425,0.14935207
428,0.29315335
430,0.15927769
431,0.32886773
433,0.32972604
434,0.19600989
439,0.29315335
441,0.19600989
449,0.18812448
458,0.18812448
460,0.18812448
464,0.16039622
473,0.2420175
488,0.053488154
491,0.17650941
494,0.7551856
497,0.26261118
500,0.30621064
505,0.26261118
507,0.12805508
508,0.29315335
510,0.29315335
511,0.29315335
515,0.31266683
525,0.29315335
529,0.26261118
532,0.26261118
534,0.26261118
537,0.27608344
539,0.26441085
541,0.26261118
545,0.29315335
547,0.8844284
548,0.9663214
549,0.9294997
553,0.9399835
554,0.24194755
555,0.29315335
557,0.29315335
562,0.31276268
566,0.48634788
572,0.645581
573,0.53197527
582,0.49805844
586,0.58929545
587,0.29315335
590,0.9663214
591,0.29315335
593,0.29315335
595,0.29315335
596,0.358932
597,0.29315335
601,0.29315335
602,0.26892596
605,0.85942936
610,0.54563236
616,0.29315335
618,0.3349091
620,0.66869783
626,0.29315335
627,0.2573786
629,0.13510697
632,0.358932
634,0.39497438
639,0.1990896
645,0.9663214
647,0.63718975
648,0.11449211
650,0.3024147
663,0.5732761
666,0.31551805
668,0.37194934
670,0.3024147
673,0.82651085
676,0.47741804
678,0.38023373
692,0.5303892
693,0.3744667
694,0.25036216
695,0.47741804
696,0.87457263
698,0.45675644
701,0.5567761
703,0.88424724
707,0.88424724
708,0.84047854
711,0.88424724
715,0.88424724
718,0.36411148
722,0.31420237
723,0.38447213
733,0.88424724
741,0.4669387
742,0.88424724
743,0.5163231
747,0.29353973
749,0.5254763
750,0.17181621
756,0.14861299
757,0.42068696
760,0.109818466
764,0.25255835
765,0.29315335
766,0.29315335
768,0.29315335
769,0.115986094
771,0.27494958
772,0.29315335
776,0.27494958
778,0.29315335
780,0.38480017
785,0.29315335
789,0.29315335
792,0.19077885
793,0.29315335
811,0.32997626
813,0.29315335
816,0.29315335
821,0.24574615
824,0.29315335
825,0.18753931
827,0.29315335
830,0.46213865
831,0.50558573
839,0.50558573
844,0.29315335
847,0.43773732
850,0.38295013
854,0.43773732
855,0.5240769
858,0.29315335
861,0.43773732
862,0.32269093
865,0.59356076
869,0.7457165
879,0.48727593
880,0.55226177
887,0.35458127
889,0.29315335
897,0.48044974
900,0.4277048
901,0.37603885
904,0.4277048
908,0.46493715
909,0.4277048
910,0.29315335
913,0.4277048
914,0.5374696
917,0.5048951
918,0.29315335
920,0.48044974
922,0.4277048
924,0.4277048
925,0.25022063
927,0.44868276
933,0.26487985
937,0.27518418
943,0.29315335
949,0.29315335
950,0.8748712
954,0.113978356
966,0.29315335
967,0.15324804
969,0.21774358
970,0.5019712
973,0.076470986
975,0.27592325
980,0.29315335
988,0.06134499
989,0.18827829
995,0.20379868
1000,0.11121189
1003,0.1696759
1007,0.19162533
1011,0.29315335
1012,0.2458761
1013,0.21774358
1014,0.21774358
1016,0.98114705
1019,0.15536875
1025,0.29315335
1027,0.29315335
1028,0.9595195
1030,0.24160855
1033,0.6374455
1034,0.29315335
1039,0.0976061
1046,0.29315335
1047,0.29315335
1053,0.29315335
1055,0.29315335
1056,0.30898637
1059,0.22132452
1060,0.2792404
1063,0.22956693
1064,0.29315335
1068,0.29315335
1076,0.17731129
1086,0.12393383
1087,0.19095488
1089,0.1259103
1092,0.19095488
1095,0.19095488
1096,0.19095488
1097,0.09848975
1100,0.19095488
1101,0.19095488
1107,0.09107231
1108,0.09735198
1111,0.11711421
1115,0.11691894
1116,0.19095488
1121,0.10350143
1125,0.17659278
1127,0.19095488
1131,0.29315335
1133,0.36614242
1135,0.2230729
1137,0.22510616
1140,0.1931361
1144,0.11334733
1147,0.39495698
1148,0.19939807
1150,0.28875214
1158,0.19939807
1159,0.16630012
1161,0.1203456
1163,0.19939807
1165,0.19939807
1169,0.19939807
1171,0.2113744
1172,0.11762845
1176,0.16454162
1180,0.29315335
1184,0.29315335
1186,0.33913815
1187,0.28183272
1192,0.14815693
1193,0.5934144
1194,0.29315335
1197,0.4911149
1200,0.2854986
1205,0.2907782
1210,0.20880777
1216,0.29315335
1220,0.11409133
1231,0.29315335
1233,0.27125508
1246,0.29315335
1247,0.22377534
1248,0.1275015
1255,0.2127125
1256,0.23595384
1257,0.29315335
1258,0.18784174
1260,0.24811067
1261,0.05097023
1265,0.29315335
1266,0.19409125
1268,0.37451985
1274,0.29315335
1281,0.11289014
1285,0.20889579
1286,0.42076313
1291,0.24912356
1292,0.06410344
1295,0.09933406
1299,0.23946314
1306,0.16687582
1310,0.23946314
1311,0.1813958
1313,0.13321687
1314,0.1614156
1322,0.23946314
1323,0.25693727
1325,0.1449173
1329,0.21621992
1330,0.24045074
1333,0.17096323
1336,0.23988089
1339,0.19939587
1342,0.12466031
1344,0.25375447
1355,0.87236756
1357,0.16866143
